,Residual,Ring,EOMES+,HOPX+,Bulk
vRG,1246.8736234786595,1459.850273638325,1955.3815851496909,932.3654285757378,1652.3315737480114
oRG,277.2858082010279,759.270412134225,474.54552286307165,9082.12967301275,1088.749294609379
IP,1844.8777025358934,2873.125949433674,9348.206530181722,2268.2816775183696,3727.4487948146893
PgS,401.905588845809,850.3498125823047,4670.4467577054465,468.8566859367478,991.0864074677975
PgG2M,220.8573111396091,363.3368825537888,1481.7453554018366,703.0177030282914,420.898636617709
OPC,26.926094381390943,27.056813786771517,12.645474368271735,29.67948844824579,23.076202189699657
InCGE,1865.084259683628,2268.448004929618,2525.5151472053008,594.8404471300125,2892.717236251507
InMGE,500.10940290630447,572.792371229409,528.1105632387819,195.92913169892404,741.1669502787205
ExN,3799.5574428941677,4011.897937691652,1262.9429848726274,4350.078093058729,4314.040378296884
ExM,482.50668362970487,479.7700713315937,751.0971339789863,928.8897695407865,665.7828533130458
ExM-U,41.303753038560494,62.4685026298599,46.83633249982612,59.5834117034543,45.600724279090265
ExDp1,47.79567635391601,30.146076103075202,41.90090923162118,38.84397166900808,34.991893158565084
ExDp2,32.783393006291035,29.387732542980377,18.0704748131952,60.84676085070115,39.59001267950779
Per,59.4978923758155,57.24411750280452,16.94717629711676,64.12555696930562,50.835937412337415
End,101.39709437373004,121.47547887566957,22.662234684915784,204.8420310245154,116.05594518225581
Mic,59.20079263353988,47.47834080009239,66.39579826482294,33.83098157861206,64.59767339807733
